word、PPT	生物信息工程师
AfterEffects	影视后期
Web Develop-Java Script	软件工程师,java软件工程师,高级软件工程师,项目经理,java程序员,.net软件工程师,软件开发工程师,开发部,Java工程师,设备处设备维护
Acrobat	给排水工程师
MS PowerPoint	环境工程项目经理,投资总监，高级投资经理 ,英文翻译
3d	施工员,室内设计师,设计师助理,UI设计师
OFFICE办公软件	财务总监,电气工程师
dreamweaver8	会计
autoCAD	产品设计助理,电气工程师,景观设计助理
Sql server	测试主管
Axure rp	交互设计
Google Analytics	网站数据分析
office 2013	银行会计
基于Node.js的软件开发	产品经理、项目经理
TCP/IP协议	嵌入式软件工程师
web	PHP程序员
逻辑电路设计	fpga开发应用
Cadcentre PDMS (工厂设计管理系统)	化工
专业英语四级	摄影师助理,投资顾问
大客户销售	部门负责人，招商，销售，珠宝，电子商务,小额贷 金融 理财产品
全国计算机一级	人事专员,无,施工员实习生
公关事件管理	公关 记者 编辑 企划
全国CAD技能等级考试一级证书	机械设计及维护
Sql Server 2008	软件工程师
ITIL（服务管理）	IT经理
vbs	软件测试
word、excel、ppt	机械工程师
pcb绘图	电气工程师
美术设计	3D、设计师、广告设计、工业产品设计、电视包装、管理,阿拉伯语相关工作
Java Web开发	程序员，软件测试，软件实施
普通话	采购员，行政专员/助理，销售代表，客服专员/助理，人事助理,会计助理,店主,客户服务/开发及管理,销售主管
Operating Systems-Windows NT/2000/XP/2003	技术经理、技术部经理、网优部门经理、技术总监,企划经理、品牌主管、微博运营主管,教务长,外贸,外贸业务员,无,成本经理,助理,高级总账会计,高级软件工程师
Office Excel	活动执行,主管
office powerpoint	会计 ,生产组织管理
Ajax 	软件工程师
活动策划	豌豆工作室创办者,兼职,推广主办 特渠营销经理,传媒 行政 策划 培训,网络美工 广告设计,广告策划、广告创意、媒介专员、广告业务,市场总监
Project Planning	高级软件工程师 项目主管/经理
SMT	SMT设备工程师
SW6压力容器强度计算	化工机械
电子商务	导游/旅行顾问,总经理助理，团队管理，销售管理，企业管理，人事行政管理,电子商务-淘宝天猫运营,物流主管,人事专员  人事助理  行政助理
flash cs6	gui设计师
Windows系统	IT工程师
SSH框架 Ibatis框架	java软件工程师
ERP	业务跟单,生产经理,服装设计师,淘宝店长,包材管理,行政主管,总会计师,会计,行政专员,生产管理兼日语翻译
linux C++	C++软件工程师
CROE	液压助理工程师
FL	网页设计,网页设计师
管理	店长,天津利安达贵金属交易所,经理助理,生产计划  采购,副总,区域销售经理,楼面经理,客服/行政/人事/质监/助理/主管/经理,投资管理及风险控制,行政人事经理
Web Develop-ASP.NET(C#)	软件工程师,程序员,技术经理,项目经理,产品经理,软件开发工程师,SDET,首席架构师,部门经理,项目经理;技术总监;架构师;高级软件工程师
金蝶会计软件	统计员
c，java，j2ee	高级工程师
ppt word 	网络编辑
oracle数据库	系统工程师,数据库管理员,linux c/c++开发工程师,java软件开发工程师,C软件开发,软件实施,程序员
金融交易	总经理
CruiseControl	配置管理（SCM）
熟练使用Word/Excel/Power	项目管理、标准化专员、产品经理助理、产品数据管理工程师等相关工作
Excel, Word, Powerpo	总账会计
JSP	java程序员,java软件工程师,Java工程师,研发工程师,java工程师,软件工程师,软件测试,JAVA软件工程师,java软件工程师，软件测试员,javaEE软件工程师
样品/样本处理	生产主管
struts 等三大框架	java软件开发
ORCALE	C++工程师
FMS 服务器	督导
学生入学	英语教师
Memcache、Redis、Mongo	PHP
熟练运用office办公软件	评估助理
计算机技能：Windows, word, excel, powerpoint, Internet。	财务经理
Linux 主机	ORACLE DBA
JSP/Servlet	员工,JAVA软件开发工程师,java工程师
Visual Basic语言	自动化生产及测试工程师
软件测试技术	项目经理
Rational Rose 建模	项目经理
用友财务系统	担保项目经理
MVC	.NET软件工程师,.Net软件工程师,研发工程师、开发工程师、项目经理
tomcat应用服务器	项目经理
redis && memcache	PHP 工程师
Axure	产品助理,产品经理,交互设计师,全职
Powerpoint	招聘专员,网站美工,会计助理,财务助理,产品经理,测试工程师,法务经理,经理助理,事业部经理,采购担当
业务增长	电销专员
java,C++,	ios开发工程师
网络管理软件	IT总监 信息总监 技术总监 云计算产品总监
lightroom	平面设计/ 数码修调
QTP，LoadRunner	软件测试工程师
javaScript	服务器研发工程师,软件开发工程师,PHP软件工程师
内容管理	CEO、COO、总编辑
数据库	软件开发,嵌入式软件开发工程师,网络工程师,软件开发工程师,javaweb开发工程师,java研发工程师,android开发,Java工程师,软件实施工程师,C++软件工程师
WebLogic	java开发
项目工程	机械设计
Java 等	android
维修简单的电脑	KA卖场主管
QA & TEST-Mantis	应用工程师,软件测试
编程开发asp,汇编,ajax等	粉体工程师
熟练运用excel	数据分析
三层架构，MVC模式开发，抽象工厂	.net工程师
医疗卫生	策划翻译市场推广
JCL (Job Control Language)	软件工程师
phoposhop	淘宝客服
Microsoft Windows Desktop	工程师
调酒	销售经理
Visual FoxPro 6.0	会计
销售	销售经理,销售代表,区域经理,销售,实习生,业务员,业务代表,通信行业销售代表,电话销售主管,销售管理
高中数学教学	QA｜QC
Visual Studio 2005	软件工程师
水质分析	水质分析与或者处理
公文写作	档案管理员,Customer Service Representative
熟练使用	总经理
粤语	物流经理,人事行政助理/专员,客户关系管理、公关策划、政府关系专员,融资 银行 风险管理 财务,船务
中英文版本的MS Office办公软件	造价员
Design/Media-HTML	.Net  工程师,品牌运作总监,高级网页设计师,项目美工,视觉设计师,上色/修复员,产品总监,动画师，建模师，渲染师，视频制作,程序员
pl/sql 和sql	linux系统维护
ASP.NET开发	软件工程师
Oracle 数据库	嵌入式软件工程师
Adobe ImageReady	研发人员
能熟练运用Windows、Linux环境	技术支持
Sql Server2008	.net软件开发
MS SQL Server	项目经理
统计软件SPSS	人力资源
power point	机电安装造价工程师
管理政策	关务
Cisco网络系统	技术支持
Office Applications-MS Powerpoint	产品经理,人事专员,副总经理,英语翻译,会计,经理,机械工程师,人力资源专员,研发人员,人力资源
银行法规	教师，企业法律顾问，律师
销售类型	销售经理,销售主管、销售经理，区域经理,普通职员,所有,企业公司
法语	工程师,法语相关工作,主管/经理/总助,环境管理方面岗位,翻译,客户经理,法语翻译,Retail Operation Management Trainee,销售经理、总经理助理
教师资格证	职能部门,教师，翻译，行政，人力,教师，行政助理,辅导教师,人事/行政助理 编辑,英语教师,教师及管理,助理,英语或计算机教师,语文老师，少儿英语老师，报纸编辑，英语翻译，对外汉语教师
iOS开发	iOS开发工程师,高级软件工程师
基本的office相关技能	工程造价
cocos2d-x、Lua	游戏前端开发
zbrush	三维
HTML语言	测试工程师
创意策划	人力资源经理
Solidwork	产品设计
成本控制	采购；人力资源；培训；物流/仓储；行政/后勤,项目顾问
PROTUES	硬件工程师
服务器硬件系统管理架构	ERP实施顾问
渠道销售	采销经理/销售经理/采购经理/电商渠道经理,渠道销售\区域销售\销售
模拟电路	硬件工程师
熟悉AJAX、 JAVASCRIPT	JAVA开发
c语言 linux	嵌入式软件工程师
CAD制图软件	研究员,全职
国家英语三级证书	人事专员
熟悉Dreamweaver、PowerD	java软件工程师
Java编程语言	无
socket网络编程	嵌入式软件工程师,嵌入式工程师,软件开发
工作特长：钳工装配，液压，划线，下料，能看懂装配图，液压图，能使用手弧焊，气保焊，手动/自动氧割，弓锯床，带剧床，小立铣，摇臂钻,能开叉车,持有B2驾驶证件。 	钳工
数据提取, 转换, 和加载 (ETL)	java,ETL工程师，BI工程师，JAVA软件开发工程师,数据分析，数据仓库，ETL开发，软件测试
Shell	测试工程师
Plsql	java软件工程师
纳米技术	化学研发人员，节能研究员，专利代理人
C++,C	英语/软件,机械设计工程
ASP.Net	软件工程师
hadoop：hive、mahout	数据
订单管理	经理／主管
Struts 1	java 软件工程师
Omnipeek	软件测试
SPSS	数据分析,项目申报,用户研究,俄语,研究员,用户体验,数据分析师,销售,经营分析经理,市场营销
水处理	环境工程设计工程师
CNC（计算机数控系统）	机械工程师
C#语言	辅导员,需求分析师
视频软件	视频内容编辑类工作,培训主管
PRO/E 2001	副总经理
高级会计师	Director of Human Resources
Sybase PowerDesigner	技术总监 咨询顾问
数据库sql	产品经理/运营经理
.Net体系架构	助理软件工程师
JBPM	java软件开发工程师
喷墨、激光打印机的维修与维护、加粉与加墨	网络管理员
B2B 电子商务营销	外贸销售员/外贸主管,电子商务，网络营销
查看API	Android开发工程师
freedhand画图软件	规划和管理人员
flash	电气工程师,资深美术设计师,文员,游戏策划,web前台开发,电子商务 淘宝,网页设计,导游,交互设计师,网页设计师
multisim	硬件工程师,电气工程师
办公软件应用	文秘
质量管理体系	生产副总、厂长、制造总监、生产总监、质量总监,铸造工程师,业务产品主管
运营管理	产品经理/专员,绩效主管,投资经理,总裁助理/总经理助理,营销经理,运营经理兼区域市场经理,总经理、副总经理、运营总监、工厂厂长、管理审计总监、高级咨询员,产品经理，游戏运营，商务合作,物流担当,总经理
div+css	j2EE开发
石油和天然气	俄语翻译
安易财务软件	财务经理
HTML、DIV+CSS	软件工程师,网页设计
.net	软件工程师,java程序员,开发人员,程序员
AD域控制器，FTP服务	网络工程师
培训项目	贸易销售类，采购，咨询顾问类
公共/媒体关系	公关 策划
Informix	系统工程师,开发工程师,java开发、Android、web、互联网
系统编程/网络编程	C/C++软件工程师
外语教学	高级商务经理
局域网组建，安全维护，办公设备维护	硬件工程师
广联达预算软件	技术员
Xcode4.x	iOS开发工程师
三级数据库	证照专员
Adobe Flex	JAVA软件开发
DNS (域名系统)	automaction test tools developer
SPSS统计软件	数据分析
亲和力 	市场营销专员
vc++	软件工程师,软件开发工程师
sqlserver、oracle、mys	java软件工程师
Operating Systems-Windows 95/98	产品经理,总监,工程（项目）经理,店长,行政管理,Senior manager,财务经理,总经理助理,项目实施工程师,Finance Supervisor
机械工程	销售工程师
PC/Desktop	产品专员/技术支持
广联达图形和钢筋算量	项目总工
系统分析	项目经理 产品经理 咨询师 系统分析架构师
Sketch Up	景观设计助理
TOMCAT	IT经理,软件实施工程师
HTML、XML、JavaScript	JavaEE软件工程师及相关岗位
生产运营管理	总经理、副总经理,副总、厂长,总经理助理
CET	供应链见习主管
Database-Infomix	软件工程师,技术总监,中级程序员
英语水平认证	英文客服，编辑，翻译,翻译,媒介助理,credit and investigation,网站优化
SAP（ERP）	工艺工程师
VB编程	软件研发工程师,研发工程师
Informatica	高级BI顾问
Rhino(犀牛)	产品设计
数据恢复（高级）	计算机软硬件维护工程师
汇编	软件开发工程师,BIOS 工程师,C++软件工程师,通信技术工程师,硬件工程师,FPGA软件开发人员,嵌入式工程师
J2ee	Java程序员
linux操作系统	JAVA软件开发,硬件工程师,软件工程师,Linux嵌入式驱动工程师
MapInfo	软件产品经理,运营专员,质量工程师、数据处理工程师
能独立编写和执行测试用例	软件测试工程师
ADINA	机械设计工程师 机械加工工艺工程师
Oracle、mysql等数据库	java工程师
Windows Develop-Office	测试工程师,软件测试,客户经理,行政助理,海外业务部商务经理,助理工程师,办公室主任,工程师,售后部门经理,讲师/助教
教育方法	老师,俄语翻译 俄语笔译口译
Java服务器端库和框架	java软件工程师,java开发工程师,Java工程师,android软件工程师,项目工程师,ORACLE DBA,程序员
Windows Develop-Win32 API	软件研发工程师,Consultant,会计助理,技术总监、部门经理,研发部经理
Visual Basic	不限定工作类别,电气工程师/技术员,嵌入式软件工程师,机械工程师,非车险理赔
CSS	软件测试工程师,java软件工程师,软件工程师,前端开发工程师,.net软件工程师,JAVA软件工程师,北京百德福科技发展有限公司,网页设计/制作/美工,java软件开发工程师,JAVA开发工程师/程序员
Remedy	软件工程师
linux环境下高级编程	嵌入式开发
Excel、word等	工程管理
Dreamwaver8，Firework	项目投资
MS word	无
HTML+CSS+JAVASCRIPT	软件工程师
ERP软件	采购经理（偏工程采购与招投标采购）,财务模块实施专员
人力资源认证	人事主管,人事专员,人力资源管理实习生
Java Web	Java
税务	财务总监 财务经理 税务总监  ,培训师
主流网络设备，服务器，存储和vm安装调试	客服工程师
SOLIDWORKS	机械工程师,营运总监,技术主管,生产管理,Lean Manager,机械绘图设计
NVQ Level 2	客服
Office Applications-MS Project	项目经理,产品经理,副总经理,高级产品经理,供应链管理工程师,运作流程优化,电气专业工程师,实施顾问,管道质量管理(QA/QC工程师),销售管理
YACC (A Compiler Compiler)	软件开发工程师
CAD  photoshop 	建筑智能化工程师
AutoCAD， Flash	审计助理
专利信息分析系统	专利工程师
Autocad	机械工程师,家居产品设计
西门子plc200	电气技术员
Network-Ethernet	项目主管及高级软件工程师,网络工程师,财务副经理,软件工程师,湖北分公司经理,高级测试工程师,项目运维总监,项目售前售后工程师,嵌入式软件工程师,销售业务
Struts2、springMVC	JAV研发工程师
Office Software	Director managing
Project工期编排	土建工程师
Html & CSS	软件工程师
C++/CLI	游戏引擎开发
数据库设计和开发	软件工程师
rhino软件	设计师
Business-to-Consumer (B2C)电子商务软件	项目主管,部门经理、经理助理
flotherm	销售，讲师，咨询师
广联达工程造价软件	土建工程师
CCSP (Cisco Certified Security Professional)	服务器技术支持主管
熟练Android UI的五种常用布局	Android
WORD	土建工程师,品牌经理,电气工程师,技术员 ,会计,市场策划/品牌管理/人力资源管理/记者/编辑/行政类,产品主管
Auto CAD	汽车底盘工程师,客服非技术,设计员,园林景观设计师助理,光学工程师,chassis design&development,机械设计,机械设计工程师,市场总监,工艺工程师
hbase，hive，pig	hadoop工程师
开关电源设计	电子研发工程师,嵌入式软件工程师,Test Engeerning
Fireworks	设计助理,高级UI设计师
MS Excel	采购工程师,品牌专员、媒介、推广,Analyst,销售
C#程序开发高薪技术证书（职业技术技能证	技术员，程序员，网站美工，前台开发
JAVASCRIPT程序设计	软件开发工程师
淘宝直通车	淘宝运营
投资报告	投资经理
mybatis	J2EE软件工程师
UV/VIS（紫外可见光谱）	分析检测、生物分离、药品厌烦
ProE	品质管理,机械工程师,采购工程师
Linux 操作系统	软件测试工程师,软件工程师,Java工程师,数据库工程师,嵌入式软件工程师,android软件工程师,技术支持工程师,工程师,project manager ,网站SEO+网站编辑+网站运营
CORELDRAW	人力资源主管
GPON	高级软件工程师
.net开发	项目经理
注册内部审计师	内部审计 和 风险管理相关职位
shell	java程序员,软件开发工程师,驱动工程师,软件测试工程师
Linux驱动	嵌入式软件工程师,linux嵌入式驱动程序开发工程师,驱动工程师
Axure、PHP、AJAX、MySQL	产品经理
物流管理	实习员,运输管理员,物流，跟单，文员，客服,物流，仓储，电子商务,仓库管理,物流
财务软件及ERP	财务经理
软、硬件	部门经理
R	量化分析员,风险投资分析师,定量分析师 Quantitative Analyst,量化投资
BI/DW	数据挖掘
制造管理	厂长，经理，生产总监
Android技术	Java程序员
硬件设计	技术支持，项目负责人
CET-6，全国计算机二级	财务会计、营销、客服
商务拓展	市场运营经理,商务经理
建筑制图	施工员,市政施工员
装配设备	职员
SolidWorks	机械工程师,机械设计,工程师,技术员,经理助理,助理工程师,厂长、设备经理,机械设计工程师 产品工程师,机械设计工程师,设备维护
项目管理能力	CIO、IT经理、项目经理、咨询顾问
教育管理	教育培训
熟悉android平台下的XML和JSO	安卓研发工程师
软件配置管理工具SVN	软件测试工程师
HTML、CSS	数据分析,软件工程师
HTML CSS JavaScript	程序员
锐捷交换机及路由器的配置	网络管理/系统运维
熟练使用Office办公软件	技术员,活动执行
Microsoft Visual Basic for Applications (VBA)	银行、证券、投资,Senior QA Engineer,策略设计，量化分析师,金融 证券,量化研究相关,嵌入式软件工程师,电气工程师,vb软件工程师,人力资源助理,高级测试工程师/测试/QA/QE
bash shell mysql	python软件工程师
ob-c	项目组长
文献检索	工艺工程师
Verilog硬件描述语言	技术支持工程师,初级 嵌入式软件设计工程师；软件设计,FPGA设计工程师,软件测试 / 电子研发工程师,数字IC设计  FPGA
活动管理	市场推广开发、会务管理,实习生
CMMI	软件研发总监
Design/Media-FrontPage	酒店管理公司,质量管理员
药物分析	药品研发员
FreeHand	网页设计师
招聘/人事代理	助理猎头顾问,行政经理,国际战略采购部助理
熟练使用CAD绘图	给水排水工程设计
J2EE核心技术（jsp、ssh等）	java软件开发工程师
Photoshop 熟练	产品设计师
Office Powerpoint	财务
用户界面/体验 (UI/UE)	程序研发
asp.net	嵌入式软件工程师,技术助理,高级软件工程师
高级人力资源管理师	人事总监、人力资源经理．人力资源主管,人力资源经理
Microsoft Visual Studio 2005	软件工程师
Macromedia ActionScript	软件开发
并发编程	java研发工程师
表达/口头技能	总经理助理
Microsoft Visual Studio 2008	高级软件工程师
HIBERNAET	Java软件工程师
TCP/IP	软件工程师,嵌入式开发,嵌入式软件开发工程师,产品经理,软件测试工程师,程序员
JSP+Servlet+JavaBean	软件开发工程师
Java 2 Platform Enterprise Edition (J2EE)	软件工程师,java软件工程师,软件开发工程师,java软件开发工程师,高级软件工程师,java,java程序员,Java工程师,Java软件工程师,测试工程师,javaWeb工程师
C++	软件工程师,iOS开发工程师,软件测试,软件实施,资料员,自动化工程师,iOS高级软件工程师,ios开发工程师,C++软件工程师,电子工程师
Adobe CorelDraw	平面设计师
国际商务	营销经理&商务主管,国际贸易, 跟单员  店长
protel 99se 	单片机工程师
Fine Pitch SMT	企业运营管理
Microsoft Visio	产品经理,通信技术/设计工程师,技术支持,设备经理,交互设计
邮件处理	外贸业务员，外贸助理,Assistant to GM
售后	客户经理
CorelDraw	平面设计，室内设计,营销策划,IT管理员/网络管理员/系统管理员,用户体验&交互设计&品牌策划,平面设计,设计师助理,平面设计实习,设计师,项目助理,市场营销
Database-Oracle	软件工程师,高级软件工程师,项目经理,java软件工程师,技术总监,软件开发工程师,运维工程师,技术支持工程师,产品经理,测试工程师
Apple iWorks	市场总监/市场经理
POSIX	嵌入式软件工程师
\t熟练掌握基于DXP的PCB设计	嵌入式工程师
delphi	程序员
美术	美工设计,跟工作相关的
Winter 09/protel 99	生产管理/工艺管理
EXE	施工员
文档处理	助理/销售支持/发行
loadrunner	软件测试工程师
ISO 9000	模具工程师,IE,PE,生产管理
ISO 9001	QA Test Center/ Project Manager,生产运作经理
SQLServer	JAVA开发工程师,市场稽核员,项目拓展规划设计,java软件工程师
熟练运用J2EE规范下的MVC设计	Java软件工程师
servlet, jdbc , Java	java开发工程师
熟练操作Microsoft office办公软件	会计
熟悉NTIER分层框架	.Net软件工程师
XML工具	软件测试工程师
计算机二级（VF）	财务会计/金融投资
.NET开发	.net程序员
TD-SCDMA	系统技术支持
Microsoft Windows XP	软件测试
VOIP系统	IT经理
全国计算机二级VF等级证书	费控
烹饪操作	行政总厨
电器设计	设备管理
网络技术知识	电脑房
cad pkpm	施工
Java测试	java软件工程师,程序员
熟练掌握Office 办公软件	自动控制工程师
Network-TCP\\/IP	软件工程师
Thrift	Java开发， 技术支持， 管培生
一级建造师	副总裁、总裁、总经理、副总经理,施工图设计师、项目主管
日语一级证书	日语翻译,翻译,日语翻译；人力资源管理；市场营销；销售助理；海外市场,日语翻译，日语业务员，日语跟单，文员，销售等,日语BPO专员,SAP及日语翻译,文书编辑、翻译，企划、人事助理,翻译 助理,日语翻译担当,日语助理
Excel、Powerpoint	景观设计师
犀牛	设计师
Ansys workbench	机械设计工程师
熟练使用Pro/e	模具设计师
电路测试	电气工程师,弱电工程师,硬件应用工程师
会计	会计,会计助理,会计文员,销售项目经理,财务经理,经理,审计助理,销售,财务部实习生,经理/部门主管/总监/店长
Windows office	结构
金蝶软件	审计助理,会计,会计主管
db2	java软件工程师
vision画图	行政助理
熟练运用Office系列办公软件。	软件工程师，网络的维护及测试，设备技术人员，人力资源类工作，策划类工作，助理类工作，装潢设计、通讯、
qt	嵌入式软件工程师,软件工程师
Windows Develop-C#	软件工程师,.net程序员,高级软件工程师,软件测试工程师,技术总监,项目经理,.net软件工程师,研发工程师,程序员,软件开发
sql server 2005	android软件工程师
熟悉Oracle，PL/SQL，Proc	C++软件工程师
Oracle DBA (数据库管理员)	数据库管理员,网络工程师或oracle数据库工程师,ORACLE DBA,oracle DBA及相关,数据库
Microsoft SQL Server	软件工程师,java软件工程师,程序员，软件工程师,ASP.NET程序员,风险管理，精算管理，投资咨询,高级软件工程师,JAVA软件开发,项目经理,测试工程师,数据库库管理员
springMVC	java工程师
以太网协议、交换机技术和socket编程	软件工程师
Linux的驱动开发	电子工程师（医疗电子）
制造/生产测试	销售助理
数据库设计	数据库开发,软件工程师,项目经理
Java软件开发	java软件工程师
金蝶财务软件	会计/审计,财务助理,财务经理/财务主管,国际业务代表,助理,财会相关工作,财务总监,行政助理,会计+ 财务管理 + 审计
C/C+	信号处理工程师
出纳	总经理助理
Ps	记者、编辑、文员
用友	会计,人力资源相关职位,财务会计,出纳
服装cad	服装设计助理
金蝶财务管理软件	财务经理
排版	文员/行政专员/助理,美编/平面设计/美工/编辑/策划/网站美工/网站编辑
计算机办公软件	会计
媒体投放	Social media
JavaScript、HTML、CSS	java软件工程师
Access+ASP	网络管理
计算机编程	电气工程师,单片机工程师，嵌入式工程师,软件工程师,管理培训生,研发人员,项目经理,技术支持及自动化、自动控制或测试、计算机相关,it 金融 教育 传媒,程序员
CRD	工业设计师   外观产品设计
Aspen plus	化工工艺设计师
CAXA	环卫专用车产品设计工程师,液压设计工程师,机械设计,技术员,工艺工程师（PE）
PR	平面设计
PS	室内设计师,动画师,ilunx系统管理员,美工,三维动画师,剪辑师,机械助理工程师,室内设计,助理规划师,维修工程师
5、起草、传达行政通知、相关文件或备忘录，协助组织公司各种活动和会议；  	行政专员/助理
Android平台UI设计	android开发工程师
熟练各种办公软件 	人事专员
数据库相关	机器人足球实验室软件研发
jquery,ajax,html,css	java软件工程师
verilog	IC验证工程师,研发工程师,数字芯片工程师
PL\SQL	ERP实施顾问
清华斯维尔	电气工程师
CISCO PIX 防火墙	全职
PM	软件测试工程师
液压设计	机械设计,储蓄干部/助理工程师
Datastream	金融，财务，投资，管理
GSM/WCDMA	移动通信技术
金蝶KIS	会计
专业工程师	土建工程师,研发工程师
PLC编程调试	电气工程师
java相关技术	java 高级研发 项目经理
Wind数据库应用	投资银行业务
技术支持	网络管理员,存储工程师,技术支持,汽轮机技术支持,销售服务部经理,产品总监 项目经理,电子工程师
MySql	java工程师,C/C++软件工程师,软件工程师,测试工程师,Java开发工程师
Word 2007	助理会计
PS、CD图片标量矢量设计软件	音效师
中级会计师	财务经理,会计,会计主管、财务主管,审计助理,财务,会计，财务，主办会计，财务主管，财务经理,财务主管,财审部主任/副总会计师,财务经理，会计经理，财务主管,审计经理
JAVA语言编程	软件测试实习生
机械制造	厂长,经理,机械工程师&技术销售,Sales management, customer service, business and marketing 
平面设计软件	设计师
c#/ASP.net	软件开发工程师
Microsoft Project	电气工程师,产品经理,产品工程师/项目工程师/制造工程师,策划,机械工程师、项目工程师,研发部主管,技术部经理,项目经理，需求分析，测试经理
驾照C	债权部主管
项目验收	售前技术支持工程师
Oracle数据库及其SQL语言的数据操	java开发工程师
服务器支持	软件测试工程师
DEC硬件	LED电子工程师
JavaScript/jQuery	php程序员
熟练使用SVN等版本控制工具	java程序员
二级	房产销售经理,电气工程师,Army Nuclear Division Assistant Engineer,硬件开发
ISO9000	水处理膜产品研发工程师
R-project	研究助理
MsWord	扫描电镜相关技术人员
VC++	应用工程师,研发工程师
Flash CS	家教老师,动画师,绘画、动画、影视、平面,实习生,审计助理,网站维护
Visual Basic 6	区域项目经理
编写报告	软件测试工程师、项目经理
精通JavaScript、MVC开发模式	.net程序员
系统管理	CIO,网络工程师,IT主管,质量部副经理 内训讲师
Database-Sybase	项目主管,产品经理,产品经理 售前,软件开发工程师,高级咨询顾问,工业节能,沈阳分公司总经理,管理岗,副总经理,测试工程师
html、css、javascript	软件开发
LINDO	市场分析
Ado.net	.net 软件工程师
VC++开发	电气工程师
Autcad	助理工程师
较为熟练的使用AutoCAD软件	设计工程师
ORACLE数据库	技术支持
熟悉Linux多进程（进程间通信）、多线	Linux c开发工程师
财务审计	会计、审计、金融,金融类、财务类、投资分析类职位,财务总监 财务顾问,咨询专员
PLSQL Developer、MyEc	java程序员
SQL 数据库	软件开发工程师
c#,asp	软件工程师
信号发生器	硬件测试工程师
图像处理和音频处理	医药代表
Microsoft 办公系列	业务类
Mathematica	软件测试或数据分析师
Data Guard	数据库工程师  系统工程师
熟练使用CAD制图	施工员、招投标专员、造价员
c#	java工程师,项目经理,测试工程师,游戏开发工程师,软件工程师,软件开发工程师,软件开发工程师 ,实施顾问,软件研发,自动化测试开发
Monolithic操作系统	生产经理
全国AUTOCAD高级证书	施工员
c	电子工程师,linux C开发工程师,高级软件工程师
SQLSERVER、ORACLE等数据库	软件工程师
财务用友ERP-NC软件	财务审计
掌握ajax、jquery框架	java软件开发工程师
Oracle,mySql	高级软件工程师
STATA	进口/关税，对外贸易部门,并购财务顾问（助理）
tomcat websphere等	高级软件工程师
Adobe Photoshop CS6	English & Japanese technical translator & interpreter
office-Powerpoint	数据挖掘工程师
学会与人沟通技巧；树立信心；向着目标坚定不移的前进 	兼职
越南语	外籍讲师,行政主管
办公	总经理
lucene、JavaMail、poi	java软件工程师
PHOTOSHOP	景观设计师,财务人员,网络工程师,空间设计,设计总监  资深设计师
Agile PLM (产品生命周期管理）	电子工程师
ios软件开发	iOS程序开发员
Sqlserver，mysql，orac	实施工程师
SSH2	java开发
PLC	电气工程师,电气技术员,机械工程师,设备工程师
Office办公	设计助理,java 软件工程师 程序员,品保工程师
CDR	淘宝美工,服装设计助理,平面设计师助理,动漫衍生设计师
全面质量管理 (TQM)	CHO,HRD,工程技术、质量管理、生产管理
ArcGIS 10软件	城市规划实习
Windows Develop-C	软件工程师,项目经理,嵌入式软件工程师,技术支持工程师,产品经理,电气工程师,软件开发工程师,研发工程师,软件测试工程师,硬件工程师
ＡＵＴＯ　ＣＡＤ	造价员
vb	java软件开发相关职业,java软件工程师
银行服务	理财分析师
展示/陈列设计	客户经理专员
Borland Delphi	软件研发工程师,delphi软件工程师，移动开发，IT企业销售，,android工程师
QC测试管理工具	软件测试工程师
常用Data Structure	Android开发工程师
hardware	土建工程师
电脑维修	硬件工程师,弱电项目经理
Protel99、Altium Desi	研发工程师
telecommunication (NUFM)	销售总监
PPt	阿语翻译
景观设计	景观设计师,景观设计师 教师 储备干部,设计总监 ,景观规划设计师,景观规划/设计师
1．出色的面试技巧；	人力资源部经理；人事行政经理；人力资源总监；人事行政总监
Wps Office	咨询热线客服
jQuery/jQuery UI	JAVA软件工程师
SOA	.net软件工程师
LAMP (Linux-Apache-MySQL-PHP/Perl)	软件工程师,嵌入式开发工程师，技术支持工程师，,软件工程师/,软件开发工程师，wp7开发工程师,技术总监,部门经理,系统软件维护工程师
CAD (计算机辅助设计)软件	机械工程师,电气工程师,室内设计师,机械设计师,设计师,施工员,实习生,工程管理，项目经理，造价师，工程师,电力设计师,生产工艺管理
iPhone SDK	iPhone软件工程师
HTML/CSS/DIV	前端研发
linux内核驱动开发	嵌入式软件工程师
LAMP、LNMP集群搭建	linux运维工程师
PPT	人事专员,资料员,活动策划,无,预算员,财务会计,财务经理,销售助理,数据统计与分析,设计师
招聘计划	人力资源助理
android	产品,java工程师,android软件工程师,Python,软件工程师,android开发工程师,java软件工程师,SMT助理工程师,android 程序员,科研人员
Th-Arch建筑设计	给排水设计
MS SQLSERVER	.net软件工程师
premiere	银行客户经理、柜员,企划宣传专员,销售管理,策划/文案
Sketch up	景观设计
3．熟悉存储过程(存储过程，游标，方法	java工程师
架构设计	项目经理
EViews	金融
分布式网络架构设计	运维经理
System-Linux	现场工程师
ERP-ACL	生产主管,银行信贷客户经理,海外分公司总经理,制造经理,生产管理兼品质管理,(副)总经理,客户经理,总经理,俄语翻译,品保经理
VHDL硬件描述语言	高级产品经理助理实习,初高中物理、英语教师
Midas	Structural Engineer
Tiptop	采购员
Jmeter	Team Leader, Software Tester,软件测试员
熟练操作使用SQLite等数据库	iOS工程师
